{'action': 'debit', 'paydrc_reference': 'PDM0N8Z05Zd6296lovv22YFs', 'status': 'Successful', 'switch_reference': 'FP03I022vm05O29', 'telco_reference': 'MP220529.1300.C93387', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDSfJRR05acE29dGVVg22FLH', 'status': 'Successful', 'switch_reference': 'FP03Lc221N05k29', 'telco_reference': 'MP220529.1258.C93374', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDHmxEd05Sfb29ncY4W22xSu', 'status': 'Successful', 'switch_reference': 'FP03jT22lJ05929', 'telco_reference': 'MP220529.1258.D94207', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDv1RIZ05NHy29s8P8E22UaA', 'status': 'Successful', 'switch_reference': 'FP034n22BO05C29', 'telco_reference': 'MP220529.1257.B93819', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PD6svuF054v229X2Gfw22Wby', 'status': 'Successful', 'switch_reference': 'FP039622Rk05p29', 'telco_reference': 'MP220529.1257.B93816', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDr7sDz05Dk229EHei722zCm', 'status': 'Failed', 'switch_reference': 'FP037g22or05J29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDkbFxn05p0u29Gbte5223EK', 'status': 'Successful', 'switch_reference': 'FP03mO22iC05H29', 'telco_reference': 'MP220529.1256.D94177', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDBuEpa0581429gCvRX22YzT', 'status': 'Successful', 'switch_reference': 'FP03hE22mQ05q29', 'telco_reference': 'MP220529.1255.D94166', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PD8bEv60588k2919bIw22DNu', 'status': 'Successful', 'switch_reference': 'FP03ps226n05H29', 'telco_reference': 'MP220529.1255.B93792', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDo6jry05XMu29Np0JY22Z3n', 'status': 'Failed', 'switch_reference': 'FP03hf22bW05l29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDz4bNS05JSV29OzRJD22X5u', 'status': 'Failed', 'switch_reference': 'FP03gk22Nm05129', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDJqVFG05ndF29hmVQP22rPV', 'status': 'Failed', 'switch_reference': 'FP03R222R705L29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDH8m4h05X9h299QYP122IcG', 'status': 'Failed', 'switch_reference': 'FP035h22FK05I29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDBoHYd050vx29JbQfk22K9g', 'status': 'Failed', 'switch_reference': 'FP03rr22Ru05829', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDswFIj05UjB29vaMH722rQX', 'status': 'Failed', 'switch_reference': 'FP03wl22Vt05i29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDHiutC05KJC29942Y422jkn', 'status': 'Failed', 'switch_reference': 'FP03t022j505629', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDiY8cT05Zeb29gZdg42227L', 'status': 'Failed', 'switch_reference': 'FP03hZ22g905U29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDW6T7d05adj29b76bf22saM', 'status': 'Failed', 'switch_reference': 'FP03DF22Vh05f29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
